Backup generated on: 02/24/2026 14:20:06
Relative Path | Category | Reason for Removal
\public\assets\vendor\css\theme-bordered.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\theme-bordered-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\core-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-default-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-raspberry.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-raspberry-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-semi-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-semi-dark-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-bordered.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\theme-bordered-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\css\rtl\core-dark.css | Theme Variants | Only theme-default is used in layouts
\public\assets\vendor\fonts\flag-icons.css | Fonts | Commented out and not used
\public\assets\js\app-access-permission.js | JavaScript | No references found in blade files
\public\assets\js\app-access-roles.js | JavaScript | No references found in blade files
\public\assets\js\app-email.js | JavaScript | No references found in blade files
\public\assets\js\app-invoice-edit.js | JavaScript | No references found in blade files
\public\assets\js\app-invoice-list.js | JavaScript | No references found in blade files
\public\assets\js\app-user-view-account.js | JavaScript | No references found in blade files
\public\assets\js\extended-ui-misc-clipboardjs.js | JavaScript | No references found in blade files
\public\assets\js\extended-ui-tour.js | JavaScript | No references found in blade files
\public\assets\js\extended-ui-treeview.js | JavaScript | No references found in blade files
\public\assets\js\extended-ui-perfect-scrollbar.js | JavaScript | No references found in blade files
\public\assets\js\forms-editors.js | JavaScript | No references found in blade files
\public\assets\js\forms-pickers.js | JavaScript | No references found in blade files
\public\assets\js\forms-selects.js | JavaScript | No references found in blade files
\public\assets\js\forms-typeahead.js | JavaScript | No references found in blade files
\public\assets\js\modal-add-permission.js | JavaScript | No references found in blade files
\public\assets\js\modal-create-app.js | JavaScript | No references found in blade files
\public\assets\js\modal-edit-user.js | JavaScript | No references found in blade files
\public\assets\js\modal-enable-otp.js | JavaScript | No references found in blade files
\public\assets\js\modal-share-project.js | JavaScript | No references found in blade files
\public\assets\js\modal-two-factor-auth.js | JavaScript | No references found in blade files
\public\assets\js\modal-add-new-cc.js | JavaScript | No references found in blade files
\public\assets\js\modal-add-new-address.js | JavaScript | No references found in blade files
\public\assets\js\modal-add-role.js | JavaScript | No references found in blade files
\public\assets\js\offcanvas-add-payment.js | JavaScript | No references found in blade files
\public\assets\js\pages-account-settings-account.js | JavaScript | No references found in blade files
\public\assets\js\pages-account-settings-billing.js | JavaScript | No references found in blade files
\public\assets\js\pages-account-settings-security.js | JavaScript | No references found in blade files
\public\assets\js\pages-auth-multisteps.js | JavaScript | No references found in blade files
\public\assets\js\pages-auth-two-steps.js | JavaScript | No references found in blade files
\public\assets\js\ui-carousel.js | JavaScript | No references found in blade files
\public\assets\js\ui-menu.js | JavaScript | No references found in blade files
\public\assets\js\ui-modals.js | JavaScript | No references found in blade files
\public\assets\js\ui-navbar.js | JavaScript | No references found in blade files
\public\assets\js\wizard-ex-create-deal.js | JavaScript | No references found in blade files
\public\assets\js\wizard-ex-checkout.js | JavaScript | No references found in blade files
\public\assets\js\wizard-ex-property-listing.js | JavaScript | No references found in blade files
\public\assets\js\form-wizard-validation.js | JavaScript | No references found in blade files
\public\assets\js\form-wizard-icons.js | JavaScript | No references found in blade files
\public\assets\js\form-wizard-numbered.js | JavaScript | No references found in blade files
\public\assets\js\tables-datatables-advanced.js | JavaScript | No references found in blade files
\public\assets\js\tables-datatables-extensions.js | JavaScript | No references found in blade files
\public\assets\js\dashboards-analytics.js | JavaScript | No references found in blade files
\public\assets\js\dashboards-ecommerce.js | JavaScript | No references found in blade files
\public\assets\js\cards-statistics.js | JavaScript | No references found in blade files
\public\assets\js\app-calendar.js | JavaScript | No references found in blade files
\public\assets\js\app-chat.js | JavaScript | No references found in blade files
\public\assets\js\app-kanban.js | JavaScript | No references found in blade files
\public\assets\vendor\libs\plyr\ | Vendor JS | No usage detected
\public\assets\vendor\libs\quill\ | Vendor JS | No usage detected
\public\assets\vendor\libs\nouislider\ | Vendor JS | No usage detected
\public\assets\vendor\libs\pickr\ | Vendor JS | No usage detected
\public\assets\vendor\libs\typeahead-js\ | Vendor JS | No usage detected
\public\assets\vendor\libs\bloodhound\ | Vendor JS | No usage detected
\public\assets\vendor\libs\clipboard\ | Vendor JS | No usage detected
\public\assets\vendor\libs\idletimer\ | Vendor JS | No usage detected
\public\assets\vendor\libs\spinkit\ | Vendor JS | No usage detected
\public\assets\vendor\libs\jstree\ | Vendor JS | No usage detected
\public\assets\vendor\libs\shepherd\ | Vendor JS | No usage detected
\public\assets\vendor\libs\datatables-checkboxes-jquery\ | Vendor JS | No usage detected
\public\assets\vendor\libs\datatables-fixedcolumns-bs5\ | Vendor JS | No usage detected
\public\assets\vendor\libs\datatables-fixedheader-bs5\ | Vendor JS | No usage detected
\public\assets\vendor\libs\datatables-rowgroup-bs5\ | Vendor JS | No usage detected
\public\assets\vendor\libs\datatables-select-bs5\ | Vendor JS | No usage detected
\public\assets\vendor\libs\node-waves\node-waves.css | Vendor JS | No usage detected
\public\assets\vendor\libs\animate-on-scroll\ | Vendor JS | No usage detected
\public\assets\wimmviewer\ | WimmViewer | Used only in product show - load from CDN if needed
